iter	Passed	Remaining
0	6	1308
1	14	1475
2	20	1363
3	24	1196
4	29	1133
5	31	1031
6	37	1026
7	41	998
8	46	979
9	52	991
10	57	990
11	61	962
12	66	956
13	73	970
14	76	948
15	81	942
16	86	934
17	90	911
18	94	899
19	99	897
20	107	917
21	113	914
22	116	894
23	121	894
24	127	891
25	132	886
26	138	887
27	142	876
28	147	868
29	152	864
30	157	856
31	161	850
32	166	840
33	170	832
34	174	824
35	178	812
36	183	808
37	188	805
38	193	800
39	198	794
40	200	778
41	206	776
42	211	772
43	216	767
44	219	754
45	222	743
46	224	731
47	229	727
48	231	713
49	236	710
50	239	699
51	243	693
52	249	692
53	253	684
54	258	681
55	263	677
56	268	673
57	273	669
58	279	667
59	284	664
60	290	662
61	293	653
62	297	646
63	302	643
64	307	638
65	313	635
66	318	631
67	323	628
68	326	619
69	328	610
70	331	601
71	335	596
72	338	589
73	343	585
74	348	580
75	353	576
76	358	571
77	362	567
78	367	563
79	372	559
80	378	555
81	384	553
82	389	549
83	394	544
84	396	536
85	398	528
86	401	520
87	405	516
88	411	513
89	414	506
90	416	498
91	420	494
92	425	489
93	431	486
94	435	481
95	440	477
96	443	471
97	448	466
98	452	462
99	456	456
100	460	451
101	465	447
102	467	440
103	472	436
104	476	431
105	481	426
106	485	421
107	490	417
108	492	410
109	496	406
110	500	401
111	502	394
112	504	388
113	509	384
114	513	379
115	517	374
116	520	369
117	524	364
118	528	359
119	531	354
120	535	349
121	540	345
122	546	342
123	552	338
124	557	334
125	562	330
126	567	326
127	572	321
128	577	317
129	580	312
130	583	307
131	588	303
132	593	299
133	596	293
134	601	289
135	607	285
136	609	280
137	614	276
138	619	271
139	624	267
140	629	263
141	635	259
142	641	255
143	647	251
144	651	247
145	653	241
146	656	236
147	661	232
148	666	228
149	671	223
150	676	219
151	682	215
152	686	211
153	691	206
154	696	202
155	701	197
156	706	193
157	710	188
158	715	184
159	720	180
160	725	175
161	730	171
162	735	166
163	740	162
164	744	157
165	749	153
166	753	148
167	759	144
168	763	140
169	768	135
170	772	131
171	777	126
172	782	122
173	787	117
174	793	113
175	797	108
176	802	104
177	808	99
178	813	95
179	818	90
180	823	86
181	828	81
182	832	77
183	837	72
184	842	68
185	846	63
186	851	59
187	855	54
188	860	50
189	864	45
190	869	40
191	873	36
192	878	31
193	881	27
194	885	22
195	890	18
196	895	13
197	899	9
198	904	4
199	909	0
